gene_symbol,retina_03,retina_04,retina_05,retina_06,retina_07,retina_08,retina_09,retina_10,retina_11,retina_12,retina_13,retina_14,retina_15,retina_16,retina_17,retina_18,retina_19,retina_20,retina_21,retina_22,retina_23
1700025G04RIK,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2610017I09RIK,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2900011O08RIK,False,False,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False
4833424O15RIK,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
4930447C04RIK,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6330403K07RIK,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False
6430548M08RIK,True,False,False,True,True,False,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True
8430419L09RIK,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A030009H04RIK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False
A830010M20RIK,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
A830036E02RIK,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A930001A20RIK,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ABAT,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
ACOT7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ADARB1,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
ADARB2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ADCY2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AGAP1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AI593442,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
AI848285,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AIPL1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ALCAM,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALDOC,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
AMIGO2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ANK3,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False
ANKS1B,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
APBA1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
APC,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
APP,True,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False
AQP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ARHGAP20,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
ARHGAP24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARHGEF9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARL4C,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASAP1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASPH,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ATP1A1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATP1B1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False
ATP2B1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ATP2B2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATP2B4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATP6V1D,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATP6V1E1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATP6V1G2,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False
ATPIF1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ATRNL1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AUTS2,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
B2M,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BAI3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BASP1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True
BC048943,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
BEX1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
BEX2,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
BHLHE22,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BNIP3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BRINP1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C1QL1,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
C1QL2,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
CABP1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
CACNA2D1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CACNA2D2,True,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False
CACNB4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CACNG2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CACNG3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
CACNG4,False,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,True
CADM3,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
CALB1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CALB2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
CALM1,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
CALM2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False
CALM3,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CALN1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CALY,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CAMK2A,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
CAMK2N1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
CAMK4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CAMKV,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False
CAPZA2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAR2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CAR3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
CAR8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CARTPT,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
CBFA2T3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CBLN1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CBLN2,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False
CBLN4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
CCDC88B,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCK,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CCSAP,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CD200,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CD302,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CD47,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
CDC42EP4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CDC7,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
CDH22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
CDH4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CDK14,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
CDK5R1,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CELF4,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
CERS5,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CFL1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CHAT,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHD3,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CHD5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
CHGA,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
CHGB,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHN1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CHN2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False
CLMN,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLMP,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CMIP,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CMTM8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CNGA1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False
CNKSR2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CNTN6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CNTNAP2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL12A1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
COL23A1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
COL25A1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL6A1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CPLX2,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CPLX3,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False
CPNE5,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CPNE6,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CRABP1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
CRHR2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CRMP1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CRYBB3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CST3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
CTNNA2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CTNND2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CTSL,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CTTNBP2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CX3CL1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CXCL14,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CYFIP2,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CYGB,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
D3BWG0562E,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
DAAM1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DAB1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
DAPK1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DARC,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
DCLK1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DDAH1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DHCR24,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
DIO2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DIRAS2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DKK3,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
DLG2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
DLGAP1,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False
DNER,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
DNM3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
DPP6,False,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False
DPYSL2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DPYSL4,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
DTNB,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DTNBP1,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
DUSP26,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
DYNC1I1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
E130218I03RIK,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
E530001K10RIK,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
EBF1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
EBF3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
ECE1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EDIL3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EEF1E1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EFR3A,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
EIF1B,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ELAVL2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ELAVL3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ELAVL4,False,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True
ELMO1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ELMOD1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ELOVL6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EPB4.1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EPB4.1L4A,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
ESPN,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ESRRG,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
FABP3,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
FAIM2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FAM115A,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
FAM155A,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FAM184B,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FAM19A5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FAM49A,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
FAM49B,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FAM57B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
FBXO32,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBXW7,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
FEZ1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FGD6,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FGF1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FGF10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FGF14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FILIP1L,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
FLRT3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FNBP1L,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FRMD5,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True
FRRS1L,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
FSCN1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSTL5,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
